Date,Close,Close,Close,Close
03.11.2020 16:00:00,"110,44","3550,5","25,75","178,92"
04.11.2020 16:00:00,"114,95","3545,53","24,8","178,82"
05.11.2020 16:00:00,"119,03","3572,66","23,45","182,93"
06.11.2020 16:00:00,"118,69","3537,01","25,35","183,19"
09.11.2020 16:00:00,"116,32","3585,15","23,1","175,08"
10.11.2020 16:00:00,"115,97","3626,91","22,45","175,66"
11.11.2020 16:00:00,"119,49","3609,53","22,71","174,9"
12.11.2020 16:00:00,"119,21","3567,79","23,84","175,96"
13.11.2020 16:00:00,"119,26","3581,87","23,11","177,16"
16.11.2020 16:00:00,"120,3","3557,54","23,7","177,15"
17.11.2020 16:00:00,"119,39","3577,59","22,66","176,5"
18.11.2020 16:00:00,"118,03","3635,41","21,64","175,49"
19.11.2020 16:00:00,"118,64","3629,65","21,25","175,16"
20.11.2020 16:00:00,"117,34","3638,35","20,84","175,69"
23.11.2020 16:00:00,"113,85","3621,63","20,57","172,23"
24.11.2020 16:00:00,"115,17","3662,45","20,77","169,59"
25.11.2020 16:00:00,"116,03","3669,01","21,17","169,51"
27.11.2020 13:00:00,"116,59","3666,72","21,28","167,79"
30.11.2020 16:00:00,"119,05","3699,12","20,79","166,67"
01.12.2020 16:00:00,"122,72","3691,96","21,3","170,18"
02.12.2020 16:00:00,"123,08","3702,25","20,68","171,46"
03.12.2020 16:00:00,"122,94","3672,82","22,27","172,81"
04.12.2020 16:00:00,"122,25","3668,1","22,52","172,32"
07.12.2020 16:00:00,"123,75","3663,46","23,31","174,89"
08.12.2020 16:00:00,"124,38","3647,49","24,72","175,5"
09.12.2020 16:00:00,"121,78","3694,62","22,89","172,5"
10.12.2020 16:00:00,"123,24","3701,17","22,5","172,17"
11.12.2020 16:00:00,"122,41","3722,48","21,93","172,49"
14.12.2020 16:00:00,"121,78","3709,41","21,57","171,54"
15.12.2020 16:00:00,"127,88","3694,92","25,16","173,94"
16.12.2020 16:00:00,"127,81","3687,26","24,23","174,9"
17.12.2020 16:00:00,"128,7","3690,01","23,31","176,74"
18.12.2020 16:00:00,"126,66","3735,36","21,7","176,44"
21.12.2020 16:00:00,"128,23","3727,04","23,08","175,88"
22.12.2020 16:00:00,"131,88","3732,04","22,77","174,49"
23.12.2020 16:00:00,"130,96","3756,07","22,75","175,65"
24.12.2020 13:00:00,"131,97","3700,65","26,97","176,35"
28.12.2020 16:00:00,"136,69","3726,86","25,34","175,71"
29.12.2020 16:00:00,"134,87","3748,14","25,07","176,35"
30.12.2020 16:00:00,"133,72","3803,79","22,37","177,7"
31.12.2020 16:00:00,"132,69","3824,68","21,56","178,36"
04.01.2021 16:00:00,"129,41","3799,61","24,08","182,33"
05.01.2021 16:00:00,"131,01","3801,19","23,33","182,87"
06.01.2021 16:00:00,"126,6","3809,84","22,21","179,9"
07.01.2021 16:00:00,"130,92","3795,54","23,25","179,48"
08.01.2021 16:00:00,"132,05","3768,25","24,34","173,34"
11.01.2021 16:00:00,"128,98","3798,91","23,24",173
12.01.2021 16:00:00,"128,8","3851,85","21,58","174,12"
13.01.2021 16:00:00,"130,89","3853,07","21,32","173,37"
14.01.2021 16:00:00,"128,91","3841,47","21,91","173,28"
15.01.2021 16:00:00,"127,14","3855,36","23,19","171,13"
19.01.2021 16:00:00,"127,83","3849,62","23,02","172,58"
20.01.2021 16:00:00,"132,03","3750,77","37,21","175,39"
21.01.2021 16:00:00,"136,87","3787,38","30,21","175,28"
22.01.2021 16:00:00,"139,07","3714,24","33,09","173,9"
25.01.2021 16:00:00,"142,92","3773,86","30,24","174,05"
26.01.2021 16:00:00,"143,16","3826,31","25,56","173,62"
27.01.2021 16:00:00,"142,06","3830,17","22,91","172,52"
28.01.2021 16:00:00,"137,09","3871,74","21,77","172,68"
29.01.2021 16:00:00,"131,96","3886,83","20,87","172,61"
01.02.2021 16:00:00,"134,14","3915,59","21,24","174,23"
02.02.2021 16:00:00,"134,99","3911,23","21,63","172,11"
03.02.2021 16:00:00,"133,94","3909,88","21,99","171,85"
04.02.2021 16:00:00,"137,39","3916,38","21,25","168,15"
05.02.2021 16:00:00,"136,76","3934,83","19,97","169,81"
08.02.2021 16:00:00,"136,91","3932,59","21,46","171,52"
09.02.2021 16:00:00,"136,01","3931,33","21,5","172,08"
10.02.2021 16:00:00,"135,39","3913,97","22,49","172,71"
11.02.2021 16:00:00,"135,13","3906,71","22,05","171,21"
12.02.2021 16:00:00,"135,37","3876,5","23,45","170,69"
16.02.2021 16:00:00,"133,19","3881,37","23,11","168,24"
17.02.2021 16:00:00,"130,84","3925,43","21,34","166,33"
18.02.2021 16:00:00,"129,71","3829,34","28,89","166,32"
19.02.2021 16:00:00,"129,87","3811,15","27,95","167,01"
22.02.2021 16:00:00,126,"3901,82","23,35","169,51"
23.02.2021 16:00:00,"125,86","3870,29","24,1","169,12"
24.02.2021 16:00:00,"125,35","3819,72","26,67",169
25.02.2021 16:00:00,"120,99","3768,47","28,57","165,82"
26.02.2021 16:00:00,"121,26","3841,94","24,66","161,81"
01.03.2021 16:00:00,"127,79","3821,35","25,47","161,53"
02.03.2021 16:00:00,"125,12","3875,44","24,03","162,41"
03.03.2021 16:00:00,"122,06","3898,81","22,56","160,62"
04.03.2021 16:00:00,"120,13","3939,34","21,91","159,04"
05.03.2021 16:00:00,"121,42","3943,34","20,69","159,14"
08.03.2021 16:00:00,"116,36","3968,94","20,03","157,49"
09.03.2021 16:00:00,"121,09","3962,71","19,79","160,84"
10.03.2021 16:00:00,"119,98","3974,12","19,23","161,66"
11.03.2021 16:00:00,"121,96","3915,46","21,58","161,52"
12.03.2021 16:00:00,"121,03","3913,1","20,95","161,49"
15.03.2021 16:00:00,"123,99","3940,59","18,88","162,2"
16.03.2021 16:00:00,"125,57","3910,52","20,3","162,35"
17.03.2021 16:00:00,"124,76","3889,14","21,2","163,51"
18.03.2021 16:00:00,"120,53","3909,52","19,81","162,56"
19.03.2021 16:00:00,"119,99","3974,54","18,86","163,24"
22.03.2021 16:00:00,"123,39","3971,09","20,74",163
23.03.2021 16:00:00,"122,54","3958,55","19,61","161,81"
24.03.2021 16:00:00,"120,09","3972,89","19,4","162,37"
25.03.2021 16:00:00,"120,59","4019,87","17,33","161,78"
26.03.2021 16:00:00,"121,21","4077,91","17,91","162,24"
29.03.2021 16:00:00,"121,39","4073,94","18,12","160,31"
30.03.2021 16:00:00,"119,9","4079,95","17,16","157,57"
31.03.2021 16:00:00,"122,15","4097,17","16,95","159,96"
01.04.2021 16:00:00,123,"4128,8","16,69","161,98"
05.04.2021 16:00:00,"125,9","4127,99","16,91","161,92"
06.04.2021 16:00:00,"126,21","4141,59","16,65","163,22"
07.04.2021 16:00:00,"127,9","4124,66","16,99","162,76"
08.04.2021 16:00:00,"130,36","4170,42","16,57","164,51"
09.04.2021 16:00:00,133,"4185,47","16,25","163,27"
12.04.2021 16:00:00,"131,24","4163,26","17,29","162,28"
13.04.2021 16:00:00,"134,43","4134,94","18,68","163,43"
14.04.2021 16:00:00,"132,03","4173,42","17,5","162,72"
15.04.2021 16:00:00,"134,5","4134,98","18,71","165,35"
16.04.2021 16:00:00,"134,16","4180,17","17,33","166,35"
19.04.2021 16:00:00,"134,84","4187,62","17,64","165,89"
20.04.2021 16:00:00,"133,11","4186,72","17,56","166,48"
21.04.2021 16:00:00,"133,5","4183,18","17,28","168,13"
22.04.2021 16:00:00,"131,94","4211,47","17,61","167,04"
23.04.2021 16:00:00,"134,32","4181,17","18,61","166,4"
26.04.2021 16:00:00,"134,72","4192,66","18,31","166,84"
27.04.2021 16:00:00,"134,39","4164,66","19,48","166,42"
28.04.2021 16:00:00,"133,58","4167,59","19,15","166,91"
29.04.2021 16:00:00,"133,48","4201,62","18,39","166,22"
30.04.2021 16:00:00,"131,46","4232,6","16,69","165,66"
03.05.2021 16:00:00,"132,54","4188,43","19,66","167,81"
04.05.2021 16:00:00,"127,85","4152,1","21,84","166,58"
05.05.2021 16:00:00,"128,1","4063,04","27,59","167,27"
06.05.2021 16:00:00,"129,74","4112,5","23,13","170,06"
07.05.2021 16:00:00,"130,21","4173,85","18,81","171,59"
10.05.2021 16:00:00,"126,85","4163,29","19,72","172,11"
11.05.2021 16:00:00,"125,91","4127,83","21,34","172,14"
12.05.2021 16:00:00,"122,77","4115,68","22,18","170,43"
13.05.2021 16:00:00,"124,97","4159,12","20,67","171,13"
14.05.2021 16:00:00,"127,45","4155,86","20,15","172,69"
17.05.2021 16:00:00,"126,27","4197,05","18,4","174,7"
18.05.2021 16:00:00,"124,85","4188,13","18,84","175,04"
19.05.2021 16:00:00,"124,69","4195,99","17,36","175,16"
20.05.2021 16:00:00,"127,31","4200,88","16,74","175,96"
21.05.2021 16:00:00,"125,43","4204,11","16,76","176,04"
24.05.2021 16:00:00,"127,1","4202,04","17,9","176,35"
25.05.2021 16:00:00,"126,9","4208,12","17,48","177,95"
